"Citation:  Lovelace, J.K., Nielsen, M.G., Read, A.L., and Murphy, C.J., 2020, Estimated Groundwater Withdrawals from Principal Aquifers in the United States—County Level Data for 2015: U.S. Geological Survey data release, https://doi.org/10.5066/P9EI0KMR.
[--, no data]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,State_FIPS,CountyAquifer,CountyAquifer Name,PS-GWPop,PS-GWPop-M,PS-WGWFr,PS-WGWFr-M,PS-WGWSa,PS-WGWSa-M,PS-WGWTo,DO-WGWFr,DO-WGWFr-M,DO-SSPop,DO-SSPop-M,IN-WGWFr,IN-WGWFr-M,IN-WGWSa,IN-WGWSa-M,IN-WGWTo,PO-WGWFr,PO-WGWFr-M,PO-WGWSa,PO-WGWSa-M,PO-WGWTo,PC-WGWFr,PC-WGWFr-M,PC-WGWSa,PC-WGWSa-M,PC-WGWTo,PT-WGWFr,PT-WGWSa,PT-WGWTo,MI-WGWFr,MI-WGWFr-M,MI-WGWSa,MI-WGWSa-M,MI-WGWTo,LI-WGWFr,LI-WGWFr-M,AQ-WGWFr,AQ-WGWFr-M,AQ-WGWSa,AQ-WGWSa-M,AQ-WGWTo,IC-WGWFr,IC-WGWFr-M,IG-WGWFr,IG-WGWFr-M,IR-WGWFr,IR-WGWFr-M,IT-WGWFr,TO-WGWFr,TO-WGWSa,TO-WGWTo
Alabama,1,01-021-N100ALLUVL,AL-Chilton County-Alluvial aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-021-N400PDMBRX,AL-Chilton County-Piedmont and Blue Ridge crystalline-rock aquifers,--,--,0.53,EGAM,0,EGAM,0.53,0.4,EGAM,6.209,EGAM,0.08,EGAM,0,EGAM,0.08,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,1.01,0,1.01
Alabama,1,01-021-N500VLYRDG,AL-Chilton County-Valley and Ridge aquifers,--,--,0.26,EGAM,0,EGAM,0.26,0.07,EGAM,1.035,EGAM,0.04,EGAM,0,EGAM,0.04,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0.37,0,0.37
Alabama,1,01-021-N9999OTHER,AL-Chilton County-Other aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-021-S100SECSLP,AL-Chilton County-Southeastern Coastal Plain aquifer system,--,--,1.72,EGAM,0,EGAM,1.72,0.13,EGAM,2.07,EGAM,0.27,EGAM,0,EGAM,0.27,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0.06,EGAM,0,EGAM,0.06,0.07,EGAM,0,EGAM,0,EGAM,0,0.33,EGAM,0,EGAM,--,--,0.33,2.58,0,2.58
Alabama,1,01-023-N100ALLUVL,AL-Choctaw County-Alluvial aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-023-N9999OTHER,AL-Choctaw County-Other aquifers,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-023-S100CSLLWD,AL-Choctaw County-Coastal lowlands aquifer system,--,--,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0,0,0
Alabama,1,01-023-S100MSEMBM,AL-Choctaw County-Mississippi embayment aquifer system,--,--,0,EGAM,0,EGAM,0,0.07,EGAM,1.362,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0.01,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,--,--,0,0.08,0,0.08
Alabama,1,01-023-S100SECSLP,AL-Choctaw County-Southeastern Coastal Plain aquifer system,--,--,1.21,EGAM,0,EGAM,1.21,0.34,EGAM,6.81,EGAM,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,EGAM,0,EGAM,0,0,0,0,0,EGAM,0,EGAM,0,0.03,EGAM,0,EGAM,0,EGAM,0,0.01,EGAM,0,EGAM,--,--,0.01,1.59,0,1.59
